"","occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","w"
"32",1,"11/04/2020","ID900.226001167976","redbreast_sunfish",11,85,10.1,"n","n","n","occ1",1
"33",1,"11/04/2020","ID900.226001167926","redbreast_sunfish",12,137,45.5,"n","n","n","occ1",0.726509325308975
"34",1,"11/04/2020","ID900.226001167845","redbreast_sunfish",12,94,13.1,"n","n","n","occ1",1
"35",1,"11/04/2020","ID900.226001167866","redbreast_sunfish",12,88,11,"n","n","n","occ1",1
"36",1,"11/04/2020","ID900.226001167830","redbreast_sunfish",12,67,5.1,"n","n","n","occ1",1
"37",1,"11/04/2020","ID900.226001167878","redbreast_sunfish",13,135,36.9,"n","n","n","occ1",1
"38",1,"11/04/2020","ID900.226001167898","redbreast_sunfish",13,107,19.3,"n","n","n","occ1",1
"39",1,"11/04/2020","ID900.226001167832","redbreast_sunfish",13,106,18.2,"n","n","n","occ1",1
"40",1,"11/04/2020","ID900.226001167809","redbreast_sunfish",14,96,14.5,"n","n","n","occ1",1
"41",1,"11/04/2020","ID900.226001167859","redbreast_sunfish",14,127,34.1,"n","n","n","occ1",1
"42",1,"11/04/2020","ID900.226001167819","redbreast_sunfish",15,140,38.9,"n","n","n","occ1",0.801370223359417
"43",1,"11/04/2020","ID900.226001167899","redbreast_sunfish",17,126,30.1,"n","n","n","occ1",1
"44",1,"11/04/2020","ID900.226001167857","redbreast_sunfish",20,90,12.5,"n","n","n","occ1",1
"45",1,"11/07/2020","ID900.226001167767","redbreast_sunfish",22,97,12.7,"n","n","n","occ1",0.652725310215241
"46",1,"11/07/2020","ID900.226001167862","redbreast_sunfish",32,120,27.2,"n","n","n","occ1",1
"47",1,"11/07/2020","ID900.226001167852","redbreast_sunfish",32,125,30.9,"n","n","n","occ1",1
"48",1,"11/08/2020","ID900.226001167729","redbreast_sunfish",35,106,18.4,"n","n","n","occ1",1
"49",1,"11/08/2020","ID900.226001167707","redbreast_sunfish",35,85,10.2,"n","n","n","occ1",1
"50",1,"11/08/2020","ID900.226001167833","redbreast_sunfish",35,73,6.4,"n","n","n","occ1",1
"51",1,"11/08/2020","ID900.226001167880","redbreast_sunfish",35,82,8.3,"n","n","n","occ1",1
"52",1,"11/08/2020","ID900.226001167851","redbreast_sunfish",37,63,4,"n","n","n","occ1",1
"53",1,"11/08/2020","ID900.226001167724","redbreast_sunfish",39,64,4,"n","n","n","occ1",1
"54",1,"11/08/2020","ID900.226001167723","redbreast_sunfish",42,112,20.7,"n","n","n","occ1",1
"55",1,"11/08/2020","ID900.226001167784","redbreast_sunfish",42,104,18.5,"n","n","n","occ1",1
"56",2,"02/06/2021","ID900.226001698422","redbreast_sunfish",1,119,21.7,"n","n","n","occ2",0.5681619419017
"57",2,"02/06/2021","ID900.226001698487","redbreast_sunfish",2,95,13.2,"n","n","n","occ2",1
"58",2,"02/06/2021","ID900.226001698443","redbreast_sunfish",2,82,8.8,"n","n","n","occ2",1
"59",2,"02/06/2021","ID900.226001698412","redbreast_sunfish",2,98,15,"n","n","n","occ2",1
"60",2,"02/06/2021","ID900.226001698465","redbreast_sunfish",4,95,12.8,"n","n","n","occ2",1
"61",2,"02/06/2021","ID900.226001167963","redbreast_sunfish",10,84,9,"y","n","n","occ2",1
"62",2,"02/06/2021","ID900.226001167703","redbreast_sunfish",10,87,9.9,"n","n","n","occ2",1
"63",2,"02/06/2021","ID900.226001698437","redbreast_sunfish",10,87,8.3,"n","n","n","occ2",0.483500237360523
"64",2,"02/06/2021","ID900.226001167709","redbreast_sunfish",10,97,13.6,"n","n","n","occ2",1
"65",2,"02/06/2021","ID900.226001167716","redbreast_sunfish",10,92,10.9,"n","n","n","occ2",1
"66",2,"02/06/2021","ID900.226001167745","redbreast_sunfish",10,155,52.3,"n","n","n","occ2",1
"67",2,"02/06/2021","ID900.226001167999","redbreast_sunfish",10,68,4.5,"y","n","n","occ2",1
"68",2,"02/06/2021","ID900.226001167923","redbreast_sunfish",10,80,7.3,"y","n","n","occ2",1
"69",2,"02/06/2021","ID900.226001167773","redbreast_sunfish",10,125,28.5,"n","n","n","occ2",1
"70",2,"02/06/2021","ID900.226001167755","redbreast_sunfish",10,115,22.2,"n","n","n","occ2",1
"71",2,"02/06/2021","ID900.226001698488","redbreast_sunfish",10,115,21.5,"n","n","n","occ2",1
"72",2,"02/06/2021","ID900.226001698498","redbreast_sunfish",10,114,21.9,"n","n","n","occ2",1
"73",2,"02/06/2021","ID900.226001698426","redbreast_sunfish",10,101,14.7,"n","n","n","occ2",1
"74",2,"02/06/2021","ID900.226001167719","redbreast_sunfish",10,112,23.1,"n","n","n","occ2",0.887730612973129
"75",2,"02/06/2021","ID900.226001167737","redbreast_sunfish",10,84,8.9,"n","n","n","occ2",1
"76",2,"02/06/2021","ID900.226001167760","redbreast_sunfish",10,111,21.1,"n","n","n","occ2",1
"77",2,"02/06/2021","ID900.226001167715","redbreast_sunfish",10,90,10.6,"n","n","n","occ2",1
"78",2,"02/06/2021","ID900.226001167764","redbreast_sunfish",10,72,6.3,"n","n","n","occ2",0.735022035047841
"79",2,"02/06/2021","ID900.226001167769","redbreast_sunfish",10,77,6.7,"n","n","n","occ2",1
"80",2,"02/06/2021","ID900.226001167785","redbreast_sunfish",11,118,22.2,"n","n","n","occ2",0.839357139220785
"81",2,"02/06/2021","ID900.226001167728","redbreast_sunfish",11,104,17.5,"n","n","n","occ2",1
"82",2,"02/06/2021","ID900.226001167926","redbreast_sunfish",12,141,45,"y","n","n","occ2",1
"83",2,"02/06/2021","ID900.226001698406","redbreast_sunfish",12,157,60.1,"n","n","n","occ2",1
"84",2,"02/06/2021","ID900.226001698493","redbreast_sunfish",12,60,3.4,"n","n","n","occ2",1
"85",2,"02/06/2021","ID900.226001167899","redbreast_sunfish",13,126,28.2,"y","n","n","occ2",1
"86",2,"02/06/2021","ID900.226001167857","redbreast_sunfish",13,90,12.1,"y","n","n","occ2",0.833054748714443
"87",2,"02/06/2021","ID900.226001698410","redbreast_sunfish",13,98,14,"n","n","n","occ2",1
"88",2,"02/06/2021","ID900.226001698419","redbreast_sunfish",14,107,18.3,"n","n","n","occ2",1
"89",2,"02/06/2021","ID900.226001698427","redbreast_sunfish",22,124,30.1,"n","n","n","occ2",1
"90",2,"02/21/2021","ID900.226001698420","redbreast_sunfish",42,63,4.1,"n","n","n","occ2",1
"91",2,"02/21/2021","ID900.226001167723","redbreast_sunfish",43,112,20.8,"y","n","n","occ2",1
"92",3,"05/15/2021","ID900.226001698488","redbreast_sunfish",4,121,30.5,"y","n","n","occ3",1
"93",3,"05/15/2021","ID900.226001698475","redbreast_sunfish",4,102,20.4,"n","n","n","occ3",1
"94",3,"05/15/2021","ID900.226001698503","redbreast_sunfish",4,123,38.8,"n","n","n","occ3",0.646829287738751
"95",3,"05/15/2021","ID900.226001698529","redbreast_sunfish",4,134,46.6,"n","n","n","occ3",1
"96",3,"05/15/2021","ID900.226001698576","redbreast_sunfish",4,94,14.3,"n","n","n","occ3",1
"97",3,"05/15/2021","ID900.226001698522","redbreast_sunfish",6,80,9.6,"n","n","n","occ3",1
"98",3,"05/15/2021","ID900.226001698439","redbreast_sunfish",6,122,34.1,"n","n","n","occ3",1
"99",3,"05/15/2021","ID900.226001167972","redbreast_sunfish",10,89,13.6,"y","n","n","occ3",1
"100",3,"05/15/2021","ID900.226001167764","redbreast_sunfish",10,79,8.7,"y","n","n","occ3",1
"101",3,"05/15/2021","ID900.226001698351","redbreast_sunfish",10,148,58.5,"n","n","n","occ3",1
"102",3,"05/15/2021","ID900.226001698366","redbreast_sunfish",10,135,41.3,"n","n","n","occ3",0.991935348592152
"103",3,"05/15/2021","ID900.226001698397","redbreast_sunfish",10,70,6.2,"n","n","n","occ3",1
"104",3,"05/15/2021","ID900.226001698304","redbreast_sunfish",10,111,27.6,"n","n","n","occ3",0.876241082688427
"105",3,"05/15/2021","ID900.226001167715","redbreast_sunfish",11,99,16.2,"y","n","n","occ3",0.888227427971534
"106",3,"05/15/2021","ID900.226001167926","redbreast_sunfish",12,149,62.4,"y","n","n","occ3",1
"107",3,"05/15/2021","ID900.226001698303","redbreast_sunfish",12,118,28.2,"n","n","n","occ3",1
"108",3,"05/15/2021","ID900.226001698369","redbreast_sunfish",12,129,38.6,"n","n","n","occ3",1
"109",3,"05/15/2021","ID900.226001698320","redbreast_sunfish",12,96,16.5,"n","n","n","occ3",1
"110",3,"05/15/2021","ID900.226001698326","redbreast_sunfish",12,73,6.4,"n","n","n","occ3",0.73889420427637
"111",3,"05/15/2021","ID900.226001698376","redbreast_sunfish",12,104,20,"n","n","n","occ3",1
"112",3,"05/15/2021","ID900.226001698390","redbreast_sunfish",12,80,9.9,"n","n","n","occ3",1
"113",3,"05/16/2021","ID900.226001698322","redbreast_sunfish",19,69,6.3,"n","n","n","occ3",1
"114",3,"05/16/2021","ID900.226001167857","redbreast_sunfish",20,98,18.3,"y","n","n","occ3",1
"115",3,"05/16/2021","ID900.226001698329","redbreast_sunfish",20,120,30.8,"n","n","n","occ3",1
"116",3,"05/16/2021","ID900.226001698362","redbreast_sunfish",20,132,44.5,"n","n","n","occ3",1
"117",3,"05/16/2021","ID900.226001698427","redbreast_sunfish",22,137,46.7,"y","n","n","occ3",1
"118",3,"05/16/2021","ID900.226001698314","redbreast_sunfish",22,92,14.1,"n","n","n","occ3",1
"119",3,"05/16/2021","ID900.226001167866","redbreast_sunfish",23,100,19.4,"y","n","n","occ3",1
"120",3,"05/16/2021","ID900.226001698347","redbreast_sunfish",23,98,19.2,"n","n","n","occ3",0.801650011838333
"121",3,"05/16/2021","ID900.226001698350","redbreast_sunfish",24,63,4.7,"n","n","n","occ3",1
"122",3,"05/16/2021","ID900.226001697376","redbreast_sunfish",31,73,7.4,"n","n","n","occ3",1
"123",3,"05/16/2021","ID900.226001697365","redbreast_sunfish",31,65,5,"n","n","n","occ3",1
"124",3,"05/16/2021","ID900.226001167760","redbreast_sunfish",35,126,34.7,"y","n","n","occ3",1
"125",3,"05/16/2021","ID900.226001698311","redbreast_sunfish",35,110,22.9,"n","n","n","occ3",1
"126",3,"05/16/2021","ID900.226001698372","redbreast_sunfish",35,106,21.9,"n","n","n","occ3",1
"127",3,"05/16/2021","ID900.226001167724","redbreast_sunfish",39,72,7.1,"y","n","n","occ3",1
"128",3,"05/16/2021","ID900.226001167723","redbreast_sunfish",42,122,32.7,"y","n","n","occ3",1
"129",3,"05/16/2021","ID900.226001697316","redbreast_sunfish",42,68,5.4,"n","n","n","occ3",1
"130",4,"08/13/2021","ID900.226001697363","redbreast_sunfish",2,116,27.8,"n","n","n","occ4",1
"131",4,"08/13/2021","ID900.226001697389","redbreast_sunfish",5,113,24.2,"n","n","n","occ4",1
"132",4,"08/13/2021","ID900.226001697203","redbreast_sunfish",5,87,11.3,"n","n","n","occ4",1
"133",4,"08/13/2021","ID900.226001697281","redbreast_sunfish",6,72,6.5,"n","n","n","occ4",1
"134",4,"08/13/2021","ID900.226001697224","redbreast_sunfish",6,82,8.7,"n","n","n","occ4",1
"135",4,"08/13/2021","ID900.226001697215","redbreast_sunfish",8,97,14.4,"n","n","n","occ4",1
"136",4,"08/13/2021","ID900.226001697222","redbreast_sunfish",8,67,4.8,"n","n","n","occ4",1
"137",4,"08/13/2021","ID900.226001697294","redbreast_sunfish",9,72,6,"n","n","n","occ4",1
"138",4,"08/13/2021","ID900.226001167972","redbreast_sunfish",10,92,12.5,"y","n","n","occ4",1
"139",4,"08/13/2021","ID900.226001698397","redbreast_sunfish",10,75,7.4,"y","n","n","occ4",1
"140",4,"08/13/2021","ID900.226001697238","redbreast_sunfish",10,71,6,"n","n","n","occ4",1
"141",4,"08/13/2021","ID900.226001697206","redbreast_sunfish",10,144,53.1,"n","n","n","occ4",1
"142",4,"08/13/2021","ID900.226001697243","redbreast_sunfish",10,63,4.4,"n","n","n","occ4",1
"143",4,"08/13/2021","ID900.226001697295","redbreast_sunfish",10,115,26.2,"n","n","n","occ4",1
"144",4,"08/13/2021","ID900.226001167764","redbreast_sunfish",11,89,11.8,"y","n","n","occ4",1
"145",4,"08/13/2021","ID900.226001697258","redbreast_sunfish",12,128,36.6,"n","n","n","occ4",1
"146",4,"08/13/2021","ID900.226001167928","redbreast_sunfish",13,95,14.3,"y","n","n","occ4",1
"147",4,"08/13/2021","ID900.226001697271","redbreast_sunfish",14,80,8.5,"n","n","n","occ4",1
"148",4,"08/14/2021","ID900.226001698314","redbreast_sunfish",20,94,13.7,"y","n","n","occ4",1
"149",4,"08/14/2021","ID900.226001698133","redbreast_sunfish",22,90,11.5,"n","n","n","occ4",1
"150",4,"08/14/2021","ID900.226001167862","redbreast_sunfish",32,131,40.3,"y","n","n","occ4",1
"151",4,"08/14/2021","ID900.226001697365","redbreast_sunfish",32,70,5.5,"y","n","n","occ4",1
"152",4,"08/14/2021","ID900.226001697496","redbreast_sunfish",32,84,9.6,"n","n","n","occ4",1
"153",4,"08/14/2021","ID900.226001697424","redbreast_sunfish",32,76,8.9,"n","n","n","occ4",0.456803641633687
"154",4,"08/14/2021","ID900.226001167737","redbreast_sunfish",35,94,14,"y","n","n","occ4",1
"155",4,"08/14/2021","ID900.226001698311","redbreast_sunfish",35,122,30.5,"y","n","n","occ4",1
"156",4,"08/14/2021","ID900.226001167724","redbreast_sunfish",37,83,9.5,"y","n","n","occ4",1
"157",4,"08/14/2021","ID900.226001698197","redbreast_sunfish",37,109,21.3,"n","n","n","occ4",1
"158",4,"08/14/2021","ID900.226001698178","redbreast_sunfish",37,130,38.3,"n","n","n","occ4",1
"159",4,"08/14/2021","ID900.226001698153","redbreast_sunfish",37,105,18.8,"n","n","n","occ4",1
"160",4,"08/14/2021","ID900.226001697416","redbreast_sunfish",39,99,16.6,"n","n","n","occ4",1
"161",5,"11/13/2021","ID900.226001698933","redbreast_sunfish",2,99,15.6,"n","n","n","occ5",1
"162",5,"11/13/2021","ID900.226001698953","redbreast_sunfish",6,61,3.7,"n","n","n","occ5",1
"163",5,"11/13/2021","ID900.226001698927","redbreast_sunfish",10,70,4.4,"n","n","n","occ5",0.443431357758395
"164",5,"11/13/2021","ID900.226001698962","redbreast_sunfish",10,64,3.7,"n","n","n","occ5",0.878832315269987
"165",5,"11/13/2021","ID900.226001698920","redbreast_sunfish",10,76,8.8,"n","n","n","occ5",0.327743297979865
"166",5,"11/13/2021","ID900.226001698912","redbreast_sunfish",10,90,10.2,"n","n","n","occ5",0.845952962284657
"167",5,"11/13/2021","ID900.226001698955","redbreast_sunfish",10,64,4.2,"n","n","n","occ5",1
"168",5,"11/13/2021","ID900.226001698983","redbreast_sunfish",10,116,24.8,"n","n","n","occ5",1
"169",5,"11/13/2021","ID900.226001698975","redbreast_sunfish",12,112,21.7,"n","n","n","occ5",1
"170",5,"11/13/2021","ID900.226001698952","redbreast_sunfish",13,75,6.4,"n","n","n","occ5",1
"171",5,"11/13/2021","ID900.226001698917","redbreast_sunfish",13,154,56.2,"n","n","n","occ5",1
"172",5,"11/14/2021","ID900.226001167862","redbreast_sunfish",32,134,40.4,"y","n","n","occ5",0.953635694012164
"173",5,"11/14/2021","ID900.226001697509","redbreast_sunfish",32,72,6.7,"n","n","n","occ5",0.577170276488579
"174",5,"11/14/2021","ID900.226001698362","redbreast_sunfish",35,140,46.9,"y","n","n","occ5",0.789272588163213
"175",5,"11/14/2021","ID900.226001697574","redbreast_sunfish",35,68,5,"n","n","n","occ5",1
"176",5,"11/14/2021","ID900.226001697516","redbreast_sunfish",35,82,8.9,"n","n","n","occ5",1
"177",5,"11/14/2021","ID900.226001697546","redbreast_sunfish",35,67,4.8,"n","n","n","occ5",1
"178",5,"11/14/2021","ID900.226001697589","redbreast_sunfish",41,72,5.3,"n","n","n","occ5",0.956021068232385
"179",5,"11/14/2021","ID900.226001697521","redbreast_sunfish",42,77,7.2,"n","n","n","occ5",1
"180",5,"11/14/2021","ID900.226001697571","redbreast_sunfish",42,62,3.7,"n","n","n","occ5",1
"181",5,"11/14/2021","ID900.226001697565","redbreast_sunfish",42,76,6,"n","n","n","occ5",0.671666893986361
"182",5,"11/14/2021","ID900.226001697557","redbreast_sunfish",42,67,4.7,"n","n","n","occ5",1
"183",5,"11/14/2021","ID900.226001697513","redbreast_sunfish",42,80,7.1,"n","n","n","occ5",0.764192148735365
"184",5,"11/14/2021","ID900.226001697518","redbreast_sunfish",42,77,6.5,"n","n","n","occ5",0.997401517159047
"185",5,"11/14/2021","ID900.226001697529","redbreast_sunfish",43,90,11.3,"n","n","n","occ5",1
"186",6,"02/12/2022","ID900.226001697506","redbreast_sunfish",4,75,6.5,"n","n","n","occ6",1
"187",6,"02/12/2022","ID900.226001167996","redbreast_sunfish",10,81,8.3,"y","n","n","occ6",1
"188",6,"02/12/2022","ID900.226001167715","redbreast_sunfish",10,96,13.2,"y","n","n","occ6",1
"189",6,"02/12/2022","ID900.226001698230","redbreast_sunfish",10,67,4.6,"n","n","n","occ6",1
"190",6,"02/12/2022","ID900.226001698912","redbreast_sunfish",11,93,10.5,"y","n","n","occ6",0.555022938958937
"191",6,"02/12/2022","ID900.226001698262","redbreast_sunfish",11,76,6.3,"n","n","n","occ6",1
"192",6,"02/12/2022","ID900.226001167719","redbreast_sunfish",13,135,37.6,"y","n","n","occ6",1
"193",6,"02/12/2022","ID900.226001698289","redbreast_sunfish",13,117,24.8,"n","n","n","occ6",1
"194",6,"02/12/2022","ID900.226001698245","redbreast_sunfish",20,66,4.8,"n","n","n","occ6",0.947236808561635
"195",6,"02/13/2022","ID900.226001697966","redbreast_sunfish",35,59,3,"n","n","n","occ6",1
"196",6,"02/13/2022","ID900.226001697988","redbreast_sunfish",35,86,10.4,"n","n","n","occ6",1
"197",6,"02/13/2022","ID900.226001697937","redbreast_sunfish",37,60,3.5,"n","n","n","occ6",1
"198",6,"02/13/2022","ID900.226001697925","redbreast_sunfish",42,78,6.7,"n","n","n","occ6",1
"199",7,"5/3/2022","ID900.226001697913","redbreast_sunfish",1,84,9,"n","n","n","occ7",0.593677520767646
"200",7,"5/3/2022","ID900.226001697902","redbreast_sunfish",4,75,7.8,"n","n","n","occ7",1
"201",7,"5/3/2022","ID900.226001697947","redbreast_sunfish",5,71,7.1,"n","n","n","occ7",0.687405805435403
"202",7,"5/3/2022","ID900.226001697996","redbreast_sunfish",5,94,14,"n","n","n","occ7",1
"203",7,"5/3/2022","ID900.226001697915","redbreast_sunfish",5,70,5.9,"n","n","n","occ7",1
"204",7,"5/3/2022","ID900.226001698522","redbreast_sunfish",6,94,15.9,"y","n","n","occ7",0.924875733575417
"205",7,"5/3/2022","ID900.226001698488","redbreast_sunfish",6,125,29.4,"y","n","n","occ7",0.581811635643215
"206",7,"5/3/2022","ID900.226001698290","redbreast_sunfish",6,100,16.3,"y","n","n","occ7",1
"207",7,"5/3/2022","ID900.226001698953","redbreast_sunfish",6,69,6,"y","n","n","occ7",1
"208",7,"5/3/2022","ID900.226001697281","redbreast_sunfish",6,80,8.6,"y","n","n","occ7",1
"209",7,"5/3/2022","ID900.226001697939","redbreast_sunfish",6,75,7.1,"n","n","n","occ7",1
"210",7,"5/3/2022","ID900.226001697829","redbreast_sunfish",6,86,10.6,"n","n","n","occ7",1
"211",7,"5/3/2022","ID900.226001697827","redbreast_sunfish",6,152,66.1,"n","n","n","occ7",1
"212",7,"5/3/2022","ID900.226001167945","redbreast_sunfish",7,139,49,"y","n","n","occ7",1
"213",7,"5/3/2022","ID900.226001697804","redbreast_sunfish",8,60,3.7,"n","n","n","occ7",1
"214",7,"5/3/2022","ID900.226001167996","redbreast_sunfish",10,85,12.9,"y","n","n","occ7",0.462050841088165
"215",7,"5/3/2022","ID900.226001167715","redbreast_sunfish",11,105,20.2,"y","n","n","occ7",1
"216",7,"5/3/2022","ID900.226001697813","redbreast_sunfish",11,130,36,"n","n","n","occ7",1
"217",7,"5/3/2022","ID900.226001697851","redbreast_sunfish",12,60,4,"n","n","n","occ7",1
"218",7,"5/3/2022","ID900.226001697816","redbreast_sunfish",12,122,30.3,"n","n","n","occ7",1
"219",7,"5/3/2022","ID900.226001697802","redbreast_sunfish",12,60,3.8,"n","n","n","occ7",1
"220",7,"5/3/2022","ID900.226001697845","redbreast_sunfish",12,142,48.2,"n","n","n","occ7",1
"221",7,"5/3/2022","ID900.226001698245","redbreast_sunfish",20,72,6.1,"y","n","n","occ7",1
"222",7,"5/3/2022","ID900.226001697887","redbreast_sunfish",20,60,3.9,"n","n","n","occ7",1
"223",7,"5/3/2022","ID900.226001697801","redbreast_sunfish",20,92,13.3,"n","n","n","occ7",1
"224",7,"5/3/2022","ID900.226001697831","redbreast_sunfish",20,104,17.6,"n","n","n","occ7",0.773827088503432
"225",7,"5/3/2022","ID900.226001697811","redbreast_sunfish",20,101,16.8,"n","n","n","occ7",1
"226",7,"5/3/2022","ID900.226001697509","redbreast_sunfish",22,81,9,"y","n","n","occ7",1
"227",7,"5/3/2022","ID900.226001697828","redbreast_sunfish",22,64,4.5,"n","n","n","occ7",1
"228",7,"5/3/2022","ID900.226001697844","redbreast_sunfish",24,60,4.3,"n","n","n","occ7",0.68151736506536
"229",7,"5/4/2022","ID900.226001698680","redbreast_sunfish",31,72,6.1,"n","n","n","occ7",1
"230",7,"5/4/2022","ID900.226001698671","redbreast_sunfish",31,63,4.6,"n","n","n","occ7",1
"231",7,"5/4/2022","ID900.226001697365","redbreast_sunfish",32,77,7.9,"y","n","n","occ7",1
"232",7,"5/4/2022","ID900.226001167724","redbreast_sunfish",35,92,13.5,"y","n","n","occ7",1
"233",7,"5/4/2022","ID900.226001698672","redbreast_sunfish",35,74,6.6,"n","n","n","occ7",1
"234",7,"5/4/2022","ID900.226001698655","redbreast_sunfish",35,84,10,"n","n","n","occ7",1
"235",7,"5/4/2022","ID900.226001698642","redbreast_sunfish",35,92,14.3,"n","n","n","occ7",1
"236",7,"5/4/2022","ID900.226001698262","redbreast_sunfish",37,82,9.6,"y","n","n","occ7",1
"237",7,"5/4/2022","ID900.226001698678","redbreast_sunfish",37,65,4.7,"n","n","n","occ7",1
"238",7,"5/4/2022","ID900.226001698685","redbreast_sunfish",37,64,4.9,"n","n","n","occ7",1
"239",7,"5/4/2022","ID900.226001698628","redbreast_sunfish",37,85,11.4,"n","n","n","occ7",1
"240",7,"5/4/2022","ID900.226001697589","redbreast_sunfish",42,80,9,"y","n","n","occ7",1
"241",7,"5/4/2022","ID900.226001697571","redbreast_sunfish",42,67,6.1,"y","n","n","occ7",0.585716455668531
"242",7,"5/4/2022","ID900.226001698618","redbreast_sunfish",42,65,5.2,"n","n","n","occ7",1
"243",7,"5/4/2022","ID900.226001698601","redbreast_sunfish",43,81,9.6,"n","n","n","occ7",1
"244",7,"5/4/2022","ID900.226001698694","redbreast_sunfish",43,61,4.3,"n","n","n","occ7",1
"245",8,"08/06/2022","ID900.226001220183","redbreast_sunfish",1,70,6.1,"n","n","n","occ8",1
"246",8,"08/06/2022","ID900.226001220105","redbreast_sunfish",1,98,17.8,"n","n","n","occ8",0.785448504778665
"247",8,"08/06/2022","ID900.226001220103","redbreast_sunfish",2,105,19.6,"n","n","n","occ8",1
"248",8,"08/06/2022","ID900.226001220140","redbreast_sunfish",2,91,12.4,"n","n","n","occ8",1
"249",8,"08/06/2022","ID900.226001220145","redbreast_sunfish",5,85,9.7,"n","n","n","occ8",1
"250",8,"08/06/2022","ID900.226001167945","redbreast_sunfish",6,142,49.4,"y","n","n","occ8",1
"251",8,"08/06/2022","ID900.226001220100","redbreast_sunfish",6,101,17.9,"n","n","n","occ8",1
"252",8,"08/06/2022","ID900.226001220159","redbreast_sunfish",6,100,15.8,"n","n","n","occ8",1
"253",8,"08/06/2022","ID900.226001220114","redbreast_sunfish",6,76,7.3,"n","n","n","occ8",1
"254",8,"08/06/2022","ID900.226001698230","redbreast_sunfish",8,83,10.4,"y","n","n","occ8",1
"255",8,"08/06/2022","ID900.226001697813","redbreast_sunfish",10,134,38.9,"y","n","n","occ8",1
"256",8,"08/06/2022","ID900.226001167990","redbreast_sunfish",10,146,58.4,"y","n","n","occ8",0.800052903273592
"257",8,"08/06/2022","ID900.226001698262","redbreast_sunfish",10,98,14.8,"y","n","n","occ8",1
"258",8,"08/06/2022","ID900.226001697947","redbreast_sunfish",12,72,7.4,"y","n","n","occ8",0.562125104888798
